#,Picture,Name,Entry,Category,Type 1,Type 2,Ht (m),Wt (kg),Column 1,Ability 1,Ability 2,Hidden Ability,Regional Variant,Form,Habitat
000,,Missingno,Comment to be written.,???,Bird,Normal,3.3,1590.8,,,,,,Red/Blue,Water's Edge
097,,Hypno,"Drowzee's evolution. They carry around a pendulum-like object. They are skilled at using Psychic. There once was an incident in which it took away a child it hypnotized. On the other hand, there are some Hypno that assist doctors with patients who can't sleep at night in hospitals.",Hypnosis,Psychic,,1.6,75.6,,Insomnia,Forewarn,Inner Focus,,,Grassland
098,,Krabby,"Found near the sea. When they fight, they raise their pincers to intimidate their foe. However, they usually prefer to avoid fighting. If a pincer is torn off, it grows back.",River Crab,Water,,0.4,6.5,,Hyper Cutter,Shell Armor,Sheer Force,,,Water's Edge
099,,Kingler,"The hard pincers have 10,000-horsepower strength. However, they are also too large, making this Pokémon ponderous in motion. They may also be seen deep inside caves.",Pincer,Water,,1.3,60,,Hyper Cutter,Shell Armor,Sheer Force,,Normal,Water's Edge
100,,Voltorb,"A completely enigmatic creature. They generate an unpleasant buzzing noise. While many live in power plants, etc., they appear to have spread in towns in recent years by traveling on power lines. They possess Electric-type moves. They are reckless and prone to exploding without warning, making it difficult for researchers to study their relation to modern Poké Balls.",Ball,Electric,,0.5,10.4,,Soundproof,Static,Aftermath,Kantonian,,Urban
101,,Electrode,"Voltorb's evolution. Because they explode at the slightest provocation, they are feared with the nickname ""Bomb Ball"".",Ball,Electric,,1.2,66.6,,Soundproof,Static,Aftermath,Kantonian,,Urban
102,,Exeggcute,"While they appear to be eggs of some sort, recent studies identified them to be creatures similar to plant seeds. While some researchers claim that they are the same as the plant growing out of Bulbasaur's back, that theory is yet to be proven. Its scientific name is Cocos ovula.",Egg,Grass,Psychic,0.4,2.5,,Chlorophyll,,Harvest,,,Forest
103,,Exeggutor,"Also known as the walking tropical rainforest. Each of their fruits has a face with its own unique will. However, they are friendly and never appear to squabble. Legend has it that on rare occasions, one of its heads will drop off and continue on as an Exeggcute.",Coconut,Grass,Psychic,2,120,,Chlorophyll,,Harvest,Kantonian,,Forest
104,,Cubone,"According to folklore, the life of a Cubone is a life of tragedy. The headpiece it wears is the skull of its dead mother and the only memento it has left of her. It pines for the mother it will never see again. The stains on the skull it wears are made by the tears it loudly sheds when they feel lonely. It never removes its skull helmet, so no one has ever seen this Pokémon's real face.",Lonely,Ground,,0.4,6.5,,Rock Head,Lightning Rod,Battle Armor,,,Mountains
105,,Marowak,"The evolved form of a Cubone that has grown tough by overcoming the grief of losing its mother. Originally small and very weak, it turned ferocious and deadly when it began using bones.",Bone Keeper,Ground,,1,45,,Rock Head,Lightning Rod,Battle Armor,Kantonian,,Mountains
106,,Hitmonlee,Their legs can be freely extended and contracted. Kicks can be delivered to even faraway foes. They are surpsingly docile when they are not fighting. Also known as 'The Demon Of Kickboxing.',Kicking,Fighting,,1.5,49.8,,Limber,Reckless,Unburden,,,Urban
107,,Hitmonchan,"A Pokémon supposedly inhabited by the spirit of a pro boxer. They throw punches faster than a bullet train. Although their habitat is unknown, based on their behavior, they have been categorized as a grassland Pokémon, the same as Hitmonlee.",Punching,Fighting,,1.4,50.2,,Keen Eye,Iron Fist,Inner Focus,,,Urban
108,,Lickitung,"At 2.5 meters, their tongue is twice as long as their height. The tongue is usually stowed and curled up in their mouth. When hunting or attacking, they can move their tongue as if it were an arm. A ravenous appetite and a lazy nature must have shaped this Pokémon's evolution.",Licking,Normal,,1.2,65.5,,Own Tempo,Oblivious,Cloud Nine,,,Grassland
109,,Koffing,"The thin-skinned, balloon-like body is filled with a powerfully toxic gas. Getting too close to this foul-smelling Pokémon makes eyes flood with tears. First discovered in a munitions factory, their habitat has been growing in recent years.",Poison Gas,Poison,,0.6,1,,Levitate,Neutralizing Gas,Stench,,,Urban
110,,Weezing,"While very rare, mutations can result in Koffing twins that are joined together. There is a lab developing a medicine for bleaching the toxicity out of Weezing.",Poison Gas,Poison,,1.2,9.5,,Levitate,Neutralizing Gas,Stench,Kantonian,,Urban
111,,Rhyhorn,"While they lack intelligence, they have plenty of power. Their ramming can shatter even building towers. Though they were thought to not be suited as house pets, they have been tamed to be surprisingly docile in the Kalos region, where Rhyhorn racing is a popular sport.",Spikes,Ground,Rock,1,115,,Lightning Rod,Rock Head,Reckless,,,Rough Terrain
112,,Rhydon,"Revered since ancient times as a mighty warrior and quite possibly the first Pokémon ever tamed. Protected by an armor-like hide, it can survive in lava over 3,600 degrees. Evolving from Rhyhorn made this Pokémon stand on their hind legs. This process prompts development of their brain and intelligence. Its horn can bore holes through boulders and even uncut diamonds.",Drill,Ground,Rock,1.9,120,,Lightning Rod,Rock Head,Reckless,,,Rough Terrain
113,,Chansey,"They lay several eggs a day. The eggs are nutritionally rich and fantastically delicious. They are peaceful and do not like to fight much, so they are often seen assisting nurses at Pokémon Centers. A wild Chansey is rare and elusive, so anyone who finds one must be lucky indeed.",Egg,Normal,,1.1,34.6,,Natural Cure,Serene Grace,Healer,,,Urban
114,,Tangela,"A plant-type Pokémon covered in blue plant vines that hide their actual form. They try to entangle anyone approaching too closely. Many researchers have attempted to cut away all the vines in hopes of seeing what they hide, but all attempts ended in failure due to Tangela's furious resistance. Its scientific name is Pseudohedera vita.",Vine,Grass,,1,35,,Chlorophyll,Leaf Guard,Regenerator,,,Grassland
115,,Kangaskhan,The females place and raise their young in belly pouches for around three years. Kangaskhan's maternal love is so deep that it will brave death to protect its offspring. They are skilled at pummeling with Comet Punch.,Parent,Normal,,2.2,80,,Early Bird,Scrappy,Inner Focus,,Normal,Grassland
116,,Horsea,"They keep balance using their spirally coiled tail. When they sense danger, they may spit black ink. Every spring, the females each lay several thousand eggs on seaweed, but most end up as Goldeen bait. Rare among Pokémon, the males raise its young.",Dragon,Water,,0.4,8,,Swift Swim,Sniper,Damp,,,Sea
117,,Seadra,Horsea's evolution. Their nature turns vicious from evolving. Carelessly trying to touch them can result in punctures from the spikes growing all over their body. The intense pain can cause fainting.,Dragon,Water,,1.2,25,,Poison Point,Sniper,Damp,,,Sea
118,,Goldeen,"The dorsal and ventral fins are built up like muscles. They help propel this Pokémon through water at a speed of 5 knots. Having little intelligence, they are known to unwittingly swim into a Gyarados' mouth where they become an easy meal.",Goldfish,Water,,0.6,15,,Swift Swim,Water Veil,Lightning Rod,,,Water's Edge
119,,Seaking,"Goldeen's evolution. Using their drill-like horn, they hollow out boulders to make their nest. They swim up rivers to spawn every year.",Goldfish,Water,,1.3,39,,Swift Swim,Water Veil,Lightning Rod,,,Water's Edge
120,,Staryu,"They are commonly found on beaches. At night, their central core flashes brightly. They are gynandrous; they possess both male and female reproductive organs. If a part of their body is cut off, they regenerate the missing body parts.",Star Shape,Water,,0.8,34.5,,Illuminate,Natural Cure,Analytic,,,Sea
121,,Starmie,,Mysterious,Water,Psychic,1.1,80,,Illuminate,Natural Cure,Analytic,,Normal,Sea
122,,Mr-Mime,"They use advanced moves like Confusion, Light Screen, Meditate, and Substitute. Being skilled mimes, they are masters at convincingly tricking people. It is said the walls they mine turn real. Their fingertips end in suction pads with which they apparently climb the walls they create. Little headway has been made in their study owing to the scarcity of specimens.",Barrier,Psychic,Fairy,1.3,54.5,,Soundproof,Filter,Technician,Kantonian,,Urban
123,,Scyther,"Scyther is blindingly fast. Its blazing speed enhances the lethality of the twin scythes on its forearms. They are relatively rare with few sightings in the wild, possibly due to its speed.",Mantis,Bug,Flying,1.5,56,,Swarm,Technician,Steadfast,,,Grassland
124,,Jynx,"An extremely rare Pokémon. They become volcanically enraged if any attempt is made to remove the clothlike shroud around their waist. That reaction informs us they have a sense of shame. While they speak in a humanlike manner, their language is indecipherable. Linguistic research is ongoing.",Human Shape,Ice,Psychic,1.4,40.6,,Oblivious,Forewarn,Dry Skin,,,Urban
125,,Electabuzz,"They love to feast on powerful electricity. They appear somewhat frequently at major power plants. Like Scyther, they are captured relatively rarely. Both Scyther and Electabuzz can distinguish colors. They have a natural affinity for the color red in particular. ",Electric,Electric,,1.1,30,,Static,,Vital Spirit,,,Grassland
126,,Magmar,"A species found near a volcano's crater. They breathe fire. Their body temperature can get extremely high, a few specimens even being recorded at 1,200 degrees Celsius. This Pokémon is very hard to spot in the wild with only a few captured.",Spitfire,Fire,,1.3,44.5,,Flame Body,,Vital Spirit,,,Mountains
127,,Pinsir,"The two long horns are powerful. Once they clamp tight on their prey, they won't loosen until the victim is torn apart. They are extremely rare Pokémon with very few reported wild sightings. They appear to prefer the color green.",Stag Beetle,Bug,,1.5,55,,Hyper Cutter,Mold Breaker,Moxie,,Normal,Forest
128,,Tauros,"When ramming, they whip their body harshly with their three tails. They will not attack unless they are attacked first. They can be found in places like the Fuschia City Safari Zone.",Wild Bull,Normal,,1.4,88.4,,Intimidate,Anger Point,Sheer Force,Kantonian,,Grassland
129,,Magikarp,"It is virtually worthless in terms of both power and speed. If anything were to happen, they immediately use Splash and flop about. It is the most weak and pathetic Pokémon in the world… Or is it? Records exist of Magikarp jumping incredible distances, and some recent studies made an incredible discovery - dragon cells were found in Magikarp's body. Anticipation runs high for deeper studies, with some theorizing that research may provide answers for Gyarados' Mega Evolution.",Fish,Water,,0.9,10,,Swift Swim,,Rattled,,,Water's Edge
130,,Gyarados,Extremely vicious and brutal. They completely incinerate all matter with Hyper Beam fired from their mouth. Apparently it can live as deep as the seafloor or as high as above the surface. The first recorded specimen in modern times was a corpse that washed up on shore 35 years ago. They are omnivorous with fangs capable of crushing boulders. Their steel-hard scales can be fashioned into jewelry like rings. Such accessories command astonishing prices.,Atrocious,Water,Flying,6.5,235,,Intimidate,,Moxie,,Normal,Water's Edge
131,,Lapras,"Being placid in nature, they prefer to ferry people across water on their back rather than fight. Needless to say, they are skilled at using the move Surf. They can also learn a diverse mix of moves like Mist, Confuse Ray, and Hydro Pump. Once driven almost to the point of extinction, it would sing plaintively as it sought what few others of its kind still remain. Following protective regulations, though, there is now an overabundance of them.",Transport,Water,Ice,2.5,220,,Water Absorb,Shell Armor,Hydration,,Normal,Sea
132,,Ditto,"Its scientific name is Amorphozodium amorphum. It can freely recombine its own cellular structure to transform into other life-forms, though if it relies on its memory, it tends to fail. They learn almost no moves of their own. Ditto can be considered one of the most enigmatic Pokémon ever, some even going so far as to say that it possibly has a connection to Mew.",Transform,Normal,,0.3,4,,Limber,,Imposter,,,Urban
133,,Eevee,Eevee has an unstable genetic makeup that suddenly mutates due to the environment in which it lives. The question of why only Eevee has such unstable genes has still not been solved.,Evolution,Normal,,0.3,6.5,,Run Away,Adaptability,Anticipation,,,Urban
134,,Vaporeon,"Their body's cellular structure is close to that of water molecules. As a result, they can melt away invisibly in water.",Bubble Jet,Water,,1,29,,Water Absorb,,Hydration,,,Urban
135,,Jolteon,A sensitive Pokémon that easily becomes sad or angry. It accumulates negative ions in the atmosphere to blast out lightning bolts sometimes reaching 10000-volts.,Lightning,Electric,,0.8,24.5,,Volt Absorb,,Quick Feet,,,Urban
136,,Flareon,"They have a flame sac inside their body. They inhale deeply, and then blow flames, sometimes of 1,700 degrees Celsius.",Flame,Fire,,0.9,25,,Flash Fire,,Guts,,,Urban
137,,Porygon,"Roughly 20 years ago, Silph Co., which undertakes R&D into Pokémon and related products, successfully applied state-of-the-art technology to create this manmade Pokémon - the world's first. While they are exceedingly rare, they somehow came to be offered as prizes by the Game Corner in Celadon City. Investigations by the authorities on the matter, assisted by a former Indigo League Champion, found that Team Rocket had a hand in this.",Virtual,Normal,,0.8,36.5,,Trace,Download,Analytic,,,Urban
138,,Omanyte,A creature somewhere between sea snails and squids that lived in ancient seas. They swam by waving their ten feet. They fed on plankton and small fish.,Spiral,Rock,Water,0.4,7.5,,Swift Swim,Shell Armor,Weak Armor,,,Sea
139,,Omastar,Thought to be Omanyte's evolution. They grew to around 1 meter height. They preyed on fish up to around 50 centimeters. They hunted by grabbing and clinging to prey with their dexterously developed tentalces and biting at the same time.,Spiral,Rock,Water,1,35,,Swift Swim,Shell Armor,Weak Armor,,,Sea
140,,Kabuto,"Said to be the ancestor of both hermit crabs and of turtles. They kept themselves sheltered in their tough shell. They appear to have disliked fighting. They are thought to have been good swimmers, although not especially fast. Recently, a Kabuto fossil was found in a mountain cave 1,000 meters above sea level. Its discovery revealed that the area had once been submerged under the sea.",Shellfish,Rock,Water,0.5,11.5,,Swift Swim,Battle Armor,Weak Armor,,,Sea
141,,Kabutops,"Kabuto's evolution. It swims expertly underwater where they hunted. They captured prey with their sharp scythe arms, tearing at foes with sickle-like forelegs and draining the them of their body fluids entirely. Evolution apparently flipped their nature from timid to aggressive. The relationship of Kabuto and Kabutops can be likened to that of Mogwai and Gremlins. Its scientific name is Kabutops maximus.",Shellfish,Rock,Water,1.3,40.5,,Swift Swim,Battle Armor,Weak Armor,,,Sea
142,,Aerodactyl,"One of the contenders for the progenitor of birds. They flew on broad wings while emitting high-pitched cries. From the skull's structure, it is evident their brain was relatively large. Some biologists claim they communicated by crying. They must have caught small creatures with their large claws and preyed on them, using their stiff, sawlike fangs to shred victims into pieces. A very recent discovery of their fossilized droppings attest to this theory.",Fossil,Rock,Flying,1.8,59,,Rock Head,Pressure,Unnerve,,Normal,Mountains
143,,Snorlax,"Among the heaviest of all Pokémon, they are unsatisfied unless they eat 400 kilograms of food a day. As soon as they finish eating, they fall asleep. While they usually live in mountains, they occassionally descend and appear in towns. They are gluttonous and will consume even moldy food without ever getting sick.",Sleeping,Normal,,2.1,460,,Immunity,Thick Fat,Gluttony,,Normal,Mountains
144,,Articuno,"They fly among wintry mountains with their long, flowing tails streaming in their wake. Folklore has it that those seeing in Articuno in flight become so enraptured by its beauty that they die rooted to the spot. The magnificent, seemingly translucent wings of this legendary bird Pokémon are said to be made of ice. It chills moisture in the atmosphere to create snow while flying.",Freeze,Ice,Flying,1.7,55.4,,Pressure,,Snow Cloak,Kantonian,,Rare
145,,Zapdos,"A legendary bird Pokémon that appears with a gigantic thunder storm. It flies with the buzz and crack of sparking electricity. It gains power if it is stricken by lightning bolts. Known in legend as the divine bird presiding over the heavens, it's said that Zapdos spend thousands of years above the clouds. Perhaps lightning is their way of showing anger.",Electric,Electric,Flying,1.6,52.6,,Pressure,,Static,Kantonian,,Rare
146,,Moltres,"Known as the legendary bird of fire. ""The Phoenix"" - the famous legend of a bird whose fresh blood confers immortality when drunk - is said to be modeled after Moltres, though others believe that it refers to Ho-Oh. Those who see it are overwhelmed by its flaming orange wings. If injured, it dips its body in the molten magma of a volcano to burn and heal itself.",Flame,Fire,Flying,2,60,,Pressure,,Flame Body,Kantonian,,Rare
147,,Dratini,"Even when young, Dratini reach a length of nearly 2 meters. They grow by repeatedly shedding. Originally thought to be a mythical creature, it was first discovered when a Safari Zone visitor caught one in the park's pond. The lucky angler became an overnight sensation with news of the discovery exploding, sporting headlines like ""Legendary Pokémon Live!"" This fortuitous accident convinced many that all legendary Pokémon exist without any doubt, igniting a massive wave of Pokémon expeditions.",Dragon,Dragon,,1.8,3.3,,Shed Skin,,Marvel Scale,,,Water's Edge
148,,Dragonair,"A mystical Pokémon that exudes a gentle aura. Has the ability to change climate conditions by discharging energy from the crystals on its neck and tail. They live in the seas and lakes. They can freely summon rain and snow. Though they have no wings, they are said to fly high in the sky.",Dragon,Dragon,,4,16.5,,Shed Skin,,Marvel Scale,,,Water's Edge
149,,Dragonite,"In spite of their bulky appearance, it is said to be capable of flying around the globe in about 16 hours. Incur the wrath of this normally kind Pokémon, and it will smash everything to smithereens before it's satisfied. Due to this, many legends paint Dragonite as The God of Destruction.",Dragon,Dragon,Flying,2.2,210,,Inner Focus,,Multiscale,,Normal,Water's Edge
150,,Mewtwo,There is an urban legend of a mad scientist who conducted horrific gene splicing and DNA engineering experiments to create a terrifyingly brutal creature. Could such a frightening Pokémon really exist?,Genetic,Psychic,,2,122,,Pressure,,Unnerve,,Normal,Rare
151,,Mew,"Able to transform into any Pokémon and use an incredible variety of moves, Mew is said to possess the genetic composition of all Pokémon. For that reason, it is sometimes referred to as the ""Ancestor of all Pokémon."" It's so rare that it is still said to be a mirage by many experts, some even claiming that the species is extinct. Apparently, it appears only to the pure-hearted and strong-willed.",New Species,Psychic,,0.4,4,,Synchronize,,,,,Rare
